# start: [7.3738686  0.75035135]mm
# end: [ 7.3738686 19.7893869]mm
# mode: density_graph
# distance (mm),	plasma density (cm^-3)
3.244814571709878415e+00 7.630667616554245120e+17
3.251066622907778036e+00 7.622557290431997440e+17
3.257318674105677658e+00 7.614446965930629120e+17
3.263570725303577280e+00 7.605052727827311360e+17
3.269822776501476902e+00 7.601851894737602560e+17
3.276074827699376524e+00 7.599146918437588480e+17
3.282326878897276146e+00 7.596441944578860800e+17
3.288578930095175323e+00 7.593736968280254720e+17
3.294830981293074945e+00 7.591031994420113920e+17
3.301083032490974567e+00 7.588327015230492160e+17
3.307335083688874189e+00 7.585622041136112640e+17
3.313587134886773811e+00 7.582917064840346880e+17
3.319839186084673432e+00 7.580212090977368320e+17
3.326091237282573054e+00 7.577507114925377280e+17
3.332343288480472676e+00 7.574802141010160640e+17
3.338595339678372298e+00 7.572097165119590400e+17
3.344847390876271476e+00 7.569217187110504960e+17
3.351099442074171098e+00 7.564748199105256960e+17
3.357351493272070719e+00 7.560149241366420480e+17
3.363603544469970341e+00 7.558418160627267840e+17
3.369855595667869963e+00 7.558836859809066240e+17
3.376107646865769585e+00 7.553089516669096960e+17
3.382359698063669207e+00 7.546629560190767360e+17
3.388611749261568828e+00 7.540503568289730560e+17
3.394863800459468450e+00 7.528535764733597440e+17
3.401115851657367628e+00 7.516071400663424000e+17
3.407367902855267250e+00 7.507555151054958080e+17
3.413619954053166872e+00 7.503743867377175040e+17
3.419872005251066494e+00 7.500938262672695040e+17
3.426124056448966115e+00 7.498186880104083200e+17
3.432376107646865737e+00 7.495003606417702400e+17
3.438628158844765359e+00 7.490919506561687040e+17
3.444880210042664981e+00 7.486760606117637120e+17
3.451132261240564603e+00 7.482601705463864320e+17
3.457384312438464224e+00 7.478442807221944320e+17
3.463636363636363402e+00 7.474283906779843840e+17
3.469888414834263024e+00 7.470125008536627200e+17
3.476140466032162646e+00 7.465966108095827200e+17
3.482392517230062268e+00 7.461807209851311360e+17
3.488644568427961890e+00 7.457648309411815680e+17
3.494896619625861511e+00 7.453489411166001920e+17
3.501148670823761133e+00 7.449330510727791360e+17
3.507400722021660755e+00 7.445171612480680960e+17
3.513652773219560377e+00 7.441012712043781120e+17
3.519904824417459555e+00 7.444061934354232320e+17
3.526156875615359176e+00 7.447762998555658240e+17
3.532408926813258798e+00 7.451464065554519040e+17
3.538660978011158420e+00 7.455165130429998080e+17
3.544913029209058042e+00 7.462611514508951040e+17
3.551165080406957664e+00 7.465302368000910080e+17
3.557417131604857286e+00 7.464659329432852480e+17
3.563669182802756907e+00 7.463752102668574720e+17
3.569921234000656529e+00 7.462844877748062720e+17
3.576173285198555707e+00 7.461304835137794560e+17
3.582425336396455329e+00 7.458440584214348800e+17
3.588677387594354951e+00 7.455458177379947520e+17
3.594929438792254572e+00 7.452475767761164800e+17
3.601181489990154194e+00 7.449493357724633600e+17
3.607433541188053816e+00 7.446510950763621120e+17
3.613685592385953438e+00 7.443528541062481920e+17
3.619937643583853060e+00 7.440546134269719040e+17
3.626189694781752682e+00 7.437563724347512320e+17
3.632441745979651859e+00 7.434581314097533440e+17
3.638693797177551481e+00 7.431598907545858560e+17
3.644945848375451103e+00 7.428616497652122880e+17
3.651197899573350725e+00 7.425634091098443520e+17
3.657449950771250347e+00 7.422651681206718720e+17
3.663702001969149968e+00 7.419669270956737280e+17
3.669954053167049590e+00 7.416686863928111360e+17
3.676206104364949212e+00 7.413704453993239040e+17
3.682458155562848834e+00 7.410722047434538240e+17
3.688710206760748012e+00 7.407739637547827200e+17
3.694962257958647633e+00 7.404757227297845760e+17
3.701214309156547255e+00 7.401774820736135680e+17
3.707466360354446877e+00 7.398792410852439040e+17
3.713718411552346499e+00 7.395810004288721920e+17
3.719970462750246121e+00 7.392827594407031040e+17
3.726222513948145743e+00 7.389845187841301760e+17
3.732474565146045364e+00 7.386862777961625600e+17
3.738726616343944986e+00 7.383880367711645440e+17
3.744978667541844164e+00 7.380897961142908160e+17
3.751230718739743786e+00 7.377915551266232320e+17
3.757482769937643408e+00 7.374933144695488000e+17
3.763734821135543029e+00 7.371950734820824320e+17
3.769986872333442651e+00 7.383113738271459840e+17
3.776238923531342273e+00 7.395724348846105600e+17
3.782490974729241895e+00 7.408334962912637440e+17
3.788743025927141517e+00 7.420945573489418240e+17
3.794995077125041139e+00 7.433556187553821440e+17
3.801247128322940760e+00 7.437634502220966400e+17
3.807499179520839938e+00 7.440347055654213120e+17
3.813751230718739560e+00 7.438738821819146240e+17
3.820003281916639182e+00 7.436684505970000640e+17
3.826255333114538804e+00 7.434630195504531200e+17
3.832507384312438425e+00 7.432575878498840320e+17
